% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate
"55,2","16,98","3184,77","584,595","400,02","101,143","173,683","250,576","248,115","249,302","295,096","306,4","248,115","250,313","456,846","354,912","454,084","462,97","485,788","510,882","498,016","66,91","1,31"
"55,2","16,98","3185,55","586,182","404,648","101,139","173,614","250,488","250,488","249,214","295,096","306,4","250,137","248,95","450,139","510,332","461,638","422,888","451,528","510,098","513,904","66,91","1,31"
"55,2","16,98","3182,03","595,947","407,168","101,135","173,545","250,62","252,334","249,39","295,096","306,4","256,465","251,499","440,53","518,6","465,414","405,704","433,686","513,794","512,252","66,91","1,31"
"55,2","16,98","3180,86","600,464","402,598","10,113","173,476","250,576","250,62","249,258","295,096","306,4","250,137","250,269","443,833","510,446","456,246","415,706","428,618","481,874","468,224","66,91","1,31"
"55,2","16,98","1272,66","594,971","393,516","101,125","173,407","250,488","249,302","249,302","295,096","306,4","247,983","248,511","453,242","502,968","451,604","441,878","427,296","433,372","412,824","66,91","1,31"
"55,2","16,98","1442,58","594,849","393,691","101,121","173,338","250,488","251,455","249,653","295,096","306,4","251,411","250,225","454,043","491,868","452,032","463,984","446,574","417,128","381,814","66,91","1,31"
"55,2","16,98","1612,5","594,238","398,145","101,116","173,269","250,093","253,125","249,302","295,096","306,4","253,784","250,84","454,844","483,262","444,478","469,764","460,896","446,702","382,034","66,91","1,31"
"55,2","16,98","2906,64","593,872","397,91","101,111","1,732","249,961","251,543","249,741","295,096","306,4","256,113","249,038","454,043","437,608","435,848","466,794","467,616","484,45","415,47","66,91","1,31"
"55,2","16,98","3086,72","589,966","396,27","101,107","173,131","250,313","250,752","250,928","295,096","306,4","250,884","249,126","449,739","238,118","433,584","476,714","490,084","494,418","458,728","66,91","1,31"
"55,2","16,98","3114,06","591,675","400,195","101,102","173,062","250,093","250,005","251,104","295,096","306,4","245,435","251,543","440,129","323,078","432,504","473,594","492,618","494,194","490,288","66,91","1,31"
"55,2","16,98","3111,33","590,332","399,434","101,097","172,993","250,488","250,049","251,455","295,096","306,4","250,62","250,181","440,93","479,522","441,354","439,452","468,936","497,106","508,054","66,91","1,31"
"55,2","16,98","3137,89","591,553","391,523","101,093","172,924","250,532","249,434","251,675","295,096","306,4","253,213","248,511","449,438","508,18","444,266","412,81","442,826","502,818","527,038","66,91","1,31"
"55,2","16,98","3181,64","587,891","387,715","101,088","172,855","250,532","247,939","251,455","295,096","306,4","246,841","249,961","450,94","514,184","441,242","405,392","432,91","471,794","491,946","66,91","1,31"
"55,2","16,98","3192,58","581,299","395,684","101,083","172,786","250,313","248,599","250,181","295,096","306,4","247,456","251,982","453,843","515,996","452,792","418,832","429,61","435,388","428,938","66,91","1,31"
"55,2","16,98","3189,45","585,693","403,359","101,078","172,717","250,313","249,258","249,39","295,096","306,4","252,114","250,708","447,136","518,602","456,568","452,658","436,992","419,816","393,072","66,91","1,31"
"55,2","16,98","3178,91","589,6","397,676","101,074","172,648","250,356","249,961","249,126","295,096","306,4","251,104","249,521","454,744","513,052","456,676","465,702","448,996","438,078","382,364","66,91","1,31"
"55,2","16,98","3160,16","586,304","395,156","101,069","172,579","250,4","248,379","249,082","295,096","306,4","247,632","250,4","454,644","276,064","457,648","480,548","467,614","465,522","398,81","66,91","1,31"
"55,2","16,98","3161,72","585,938","390,527","101,064","17,251","250,752","245,127","249,17","295,096","306,4","252,114","251,455","443,933","323,586","454,732","492,502","489,428","490,946","425,078","66,91","1,31"
"55,2","16,98","3172,66","580,933","392,578","10,106","172,441","250,664","249,17","249,302","295,096","306,4","251,499","250,752","448,438","371,108","454,84","480,076","486,122","499,01","465,246","66,91","1,31"
"55,2","16,98","3172,27","581,543","398,789","101,055","172,372","250,488","249,258","249,126","295,096","306,4","246,797","249,39","448,037","505,46","462,394","444,528","458,47","499,458","514,68","66,91","1,31"
"55,2","16,98","3152,34","578,857","410,215","10,105","172,303","250,093","251,323","248,555","295,096","306,4","250,137","249,478","453,743","515,994","460,884","421,406","442,72","496,882","517,216","66,91","1,31"
"55,2","16,98","3165,23","561,768","407,754","101,045","172,234","249,302","249,346","249,478","295,096","306,4","252,202","251,016","459,949","518,712","455,38","431,092","434,238","465,746","476,5","66,91","1,31"
"55,2","16,98","3277,73","553,711","400,078","101,041","172,166","248,555","249,917","250,4","295,096","306,4","247,368","249,565","469,558","515,2","448,15","446,638","441,838","432,14","429,38","66,91","1,31"
"55,2","16,98","3326,56","551,636","396,035","101,036","172,097","248,555","250,093","251,411","295,096","306,4","249,434","247,808","473,562","507,724","454,736","464,766","452,63","423,288","404,772","66,91","1,31"
"55,2","16,98","3316,41","549,927","394,043","101,031","172,028","248,73","248,511","252,026","295,096","306,4","252,686","247,632","471,96","504,1","461,86","473,83","454,39","423,96","400,58","66,91","1,31"
"55,2","16,98","3309,38","555,786","397,91","101,027","171,917","248,335","248,379","251,895","295,096","306,4","253,345","249,214","456,345","270,97","455,38","475,468","466,288","451,518","413,822","66,91","1,31"
"55,2","16,98","3325,78","552,002","400,137","101,022","17,178","248,335","248,027","251,016","295,096","306,4","254,18","251,455","435,725","324,439","451,06","491,092","500,662","484,338","437,212","66,91","1,31"
"55,2","16,98","3356,25","552,002","397,793","101,017","171,642","248,247","250,356","249,829","295,096","306,4","251,543","250,664","433,723","377,908","445,558","479,216","496,804","497,666","465,79","66,91","1,31"
"55,2","16,98","3376,56","554,688","400,605","101,013","171,504","248,599","250,313","248,73","295,096","306,4","248,423","249,478","444,133","500,028","439,946","429,92","462,986","501,138","502,208","66,91","1,31"
"55,2","16,98","3410,94","557,338","403,251","101,008","171,367","248,448","252,686","247,914","295,096","306,4","247,506","250,143","446,65","504,426","438,347","410,211","452,824","509,81","524,089","66,91","1,31"
"55,2","16,98","3522,27","550,293","406,348","101,003","171,229","248,071","253,389","247,874","295,096","306,4","251,038","249,5","444,934","513,164","445,237","422,773","449,494","488,398","489,739","66,91","1,31"
